,Value,Operation_1,Operation_2,Method
107,93.833,selectLargest(domainMax()),selectSmallest(valueSuccessRate()),Restart
45,93.837,selectLargest(successRate()),selectSmallest(value()),IterativeDiving
131,93.877,selectLargest(localImpact()),selectSmallest(valueSuccessRate()),Restart
173,93.952,selectSmallest(impact()),selectSmallest(valueSuccessRate()),Restart
172,93.961,selectSmallest(impact()),selectSmallest(valueImpact()),Restart
106,94.014,selectLargest(domainMax()),selectSmallest(valueImpact()),Restart
95,94.262,selectSmallest(regretOnMin()),selectSmallest(valueSuccessRate()),IterativeDiving
126,94.307,selectLargest(localImpact()),selectLargest(value()),Restart
74,94.338,selectSmallest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),IterativeDiving
63,94.448,selectSmallest(domainSize()),selectSmallest(value()),IterativeDiving
73,94.451,selectSmallest(ImpactOfLastBranch()),selectLargest(valueImpact()),IterativeDiving
102,94.474,selectLargest(domainMax()),selectLargest(value()),Restart
168,94.488,selectSmallest(impact()),selectLargest(value()),Restart
157,94.523,selectSmallest(domainMin()),selectLargest(valueImpact()),Restart
158,94.694,selectSmallest(domainMin()),selectLargest(valueSuccessRate()),Restart
127,94.816,selectLargest(localImpact()),selectLargest(valueImpact()),Restart
169,94.89,selectSmallest(impact()),selectLargest(valueImpact()),Restart
46,94.898,selectLargest(successRate()),selectSmallest(valueImpact()),IterativeDiving
91,95.162,selectSmallest(regretOnMin()),selectLargest(valueImpact()),IterativeDiving
128,95.188,selectLargest(localImpact()),selectLargest(valueSuccessRate()),Restart
47,95.286,selectLargest(successRate()),selectSmallest(valueSuccessRate()),IterativeDiving
170,95.3,selectSmallest(impact()),selectLargest(valueSuccessRate()),Restart
153,95.349,selectSmallest(domainMax()),selectSmallest(value()),Restart
103,95.518,selectLargest(domainMax()),selectLargest(valueImpact()),Restart
87,95.573,selectSmallest(regretOnMax()),selectSmallest(value()),IterativeDiving
65,95.631,selectSmallest(domainSize()),selectSmallest(valueSuccessRate()),IterativeDiving
183,95.746,selectSmallest(localImpact()),selectSmallest(value()),Restart
104,95.762,selectLargest(domainMax()),selectLargest(valueSuccessRate()),Restart
123,95.763,selectLargest(ImpactOfLastBranch()),selectSmallest(value()),Restart
42,95.939,selectLargest(successRate()),selectLargest(value()),IterativeDiving
92,96.072,selectSmallest(regretOnMin()),selectLargest(valueSuccessRate()),IterativeDiving
141,96.09,selectLargest(regretOnMin()),selectSmallest(value()),Restart
124,96.104,selectLargest(ImpactOfLastBranch()),selectSmallest(valueImpact()),Restart
154,96.116,selectSmallest(domainMax()),selectSmallest(valueImpact()),Restart
64,96.253,selectSmallest(domainSize()),selectSmallest(valueImpact()),IterativeDiving
142,96.591,selectLargest(regretOnMin()),selectSmallest(valueImpact()),Restart
184,96.707,selectSmallest(localImpact()),selectSmallest(valueImpact()),Restart
88,97.248,selectSmallest(regretOnMax()),selectSmallest(valueImpact()),IterativeDiving
125,97.253,selectLargest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),Restart
43,97.28,selectLargest(successRate()),selectLargest(valueImpact()),IterativeDiving
155,97.34,selectSmallest(domainMax()),selectSmallest(valueSuccessRate()),Restart
143,97.588,selectLargest(regretOnMin()),selectSmallest(valueSuccessRate()),Restart
185,97.767,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),Restart
44,98.033,selectLargest(successRate()),selectLargest(valueSuccessRate()),IterativeDiving
150,98.097,selectSmallest(domainMax()),selectLargest(value()),Restart
120,98.228,selectLargest(ImpactOfLastBranch()),selectLargest(value()),Restart
60,98.412,selectSmallest(domainSize()),selectLargest(value()),IterativeDiving
62,98.425,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),IterativeDiving
61,98.571,selectSmallest(domainSize()),selectLargest(valueImpact()),IterativeDiving
138,98.581,selectLargest(regretOnMin()),selectLargest(value()),Restart
180,98.609,selectSmallest(localImpact()),selectLargest(value()),Restart
